start time;end time;elapsed utime;
159734979;159735286;307;
159736296;159736585;289;
159737398;159737687;289;
159738495;159738784;289;
159739572;159739725;153;
159740646;159740799;153;
159741720;159741873;153;
159742794;159742947;153;
159743868;159744027;159;
159744941;159745094;153;
159746017;159746170;153;
159747097;159747264;167;
159748178;159748346;168;
159749273;159749562;289;
159750372;159750661;289;
159751470;159751759;289;
159752568;159752857;289;
159753666;159753955;289;
159754764;159755053;289;
159755862;159756151;289;
159756959;159757275;316;
159758059;159758372;313;
159759158;159759444;286;
159760260;159760520;260;
159761354;159761614;260;
159762449;159762709;260;
159763542;159763803;261;
159764635;159764905;270;
159765728;159765998;270;
159766821;159767091;270;
159767955;159768231;276;
159769049;159769329;280;
159770146;159770461;315;
159771246;159771535;289;
159772345;159772634;289;
159773443;159773732;289;
159774541;159774830;289;
159775638;159775927;289;
159776736;159777025;289;
159777834;159778123;289;
159778933;159779247;314;
159780031;159780312;281;
159781125;159781408;283;
159782233;159782493;260;
159783326;159783586;260;
159784418;159784678;260;
159785512;159785772;260;
159786605;159786866;261;
159787698;159787958;260;
159788827;159789087;260;
159789920;159790180;260;
159791016;159791327;311;
159792113;159792427;314;
159793227;159793516;289;
159794326;159794615;289;
159795424;159795713;289;
159796522;159796822;300;
159797620;159797909;289;
159798718;159799018;300;
159799818;159800107;289;
159800916;159801184;268;
159802010;159802288;278;
159803103;159803379;276;
159804195;159804480;285;
159805289;159805550;261;
159806381;159806641;260;
159807473;159807743;270;
159808564;159808834;270;
159809691;159809951;260;
159810786;159811046;260;
159811883;159812172;289;
159812981;159813289;308;
159814078;159814396;318;
159815175;159815491;316;
159816274;159816563;289;
159817373;159817662;289;
159818471;159818760;289;
159819569;159819858;289;
159820668;159820957;289;
159821767;159822034;267;
159822861;159823121;260;
159823955;159824230;275;
159825047;159825332;285;
159826140;159826425;285;
159827232;159827492;260;
159828325;159828596;271;
159829414;159829674;260;
159830506;159830766;260;
159831599;159831869;270;
159832692;159832962;270;
159833785;159834045;260;
159834878;159835148;270;
159835970;159836265;295;
159837062;159837342;280;
159838154;159838440;286;
159839248;159839508;260;
159840341;159840601;260;
159841439;159841699;260;
159842534;159842794;260;
159843630;159843928;298;
159844729;159845018;289;
159845828;159846117;289;
159846926;159847232;306;
159848023;159848333;310;
159849120;159849437;317;
159850234;159850523;289;
159851333;159851622;289;
159852430;159852719;289;
159853529;159853796;267;
159854623;159854883;260;
159855716;159855976;260;
159856810;159857070;260;
159857903;159858163;260;
159858996;159859273;277;
159860089;159860370;281;
159861181;159861465;284;
159862309;159862569;260;
159863404;159863664;260;
159864499;159864788;289;
159865598;159865898;300;
159866697;159866986;289;
159867795;159868084;289;
159868893;159869182;289;
159869991;159870303;312;
159871088;159871396;308;
159872184;159872496;312;
159873321;159873610;289;
159874420;159874709;289;
159875512;159875772;260;
159876607;159876867;260;
159877699;159877959;260;
159878791;159879051;260;
159879885;159880145;260;
159880976;159881252;276;
159882068;159882353;285;
159883161;159883446;285;
159884260;159884521;261;
159885353;159885624;271;
159886446;159886706;260;
159887539;159887799;260;
159888632;159888893;261;
159889725;159889985;260;
159890818;159891078;260;
159891911;159892181;270;
159893004;159893281;277;
159894095;159894381;286;
159895192;159895535;343;
159896291;159896551;260;
159897388;159897677;289;
159898488;159898777;289;
159899587;159899876;289;
159900685;159900974;289;
159901783;159902072;289;
159902881;159903182;301;
159903979;159904307;328;
159905077;159905406;329;
159906174;159906492;318;
159907283;159907547;264;
159908378;159908638;260;
159909472;159909732;260;
159910565;159910825;260;
159911658;159911918;260;
159912749;159913009;260;
159913968;159914246;278;
159915061;159915346;285;
159916195;159916481;286;
159917290;159917550;260;
159918388;159918677;289;
159919487;159919776;289;
159920585;159920874;289;
159921683;159921972;289;
159922781;159923070;289;
159923880;159924169;289;
159924977;159925286;309;
159926073;159926394;321;
159927170;159927487;317;
159928270;159928539;269;
159929365;159929625;260;
159930459;159930729;270;
159931552;159931812;260;
159932645;159932905;260;
159933738;159933998;260;
159934831;159935091;260;
159935924;159936194;270;
159937049;159937343;294;
159938142;159938421;279;
159939241;159939530;289;
159940339;159940628;289;
159941436;159941725;289;
159942534;159942823;289;
159943632;159943921;289;
159944728;159945017;289;
159945826;159946115;289;
159946923;159947236;313;
159948020;159948330;310;
159949116;159949401;285;
159950223;159950483;260;
159951318;159951578;260;
159952411;159952681;270;
159953504;159953774;270;
159954597;159954867;270;
159955690;159955960;270;
159956783;159957043;260;
159957881;159958152;271;
159958975;159959259;284;
159960067;159960352;285;
159961159;159961444;285;
159962253;159962514;261;
159963346;159963606;260;
159964439;159964699;260;
159965532;159965802;270;
159966625;159966886;261;
159967718;159967978;260;
159968812;159969072;260;
159969907;159970225;318;
159971006;159971316;310;
159972103;159972416;313;
159973199;159973515;316;
159974297;159974586;289;
159975394;159975694;300;
159976492;159976781;289;
159977590;159977879;289;
159978695;159978984;289;
159979794;159980083;289;
159980893;159981182;289;
159981990;159982298;308;
159983083;159983364;281;
159984176;159984460;284;
159985270;159985530;260;
159986364;159986624;260;
159987457;159987717;260;
159988550;159988820;270;
159989643;159989914;271;
159990736;159990996;260;
159991829;159992089;260;
159992921;159993181;260;
159994014;159994291;277;
159995106;159995388;282;
159996198;159996483;285;
159997291;159997551;260;
159998382;159998643;261;
159999474;159999734;260;
160000567;160000827;260;
160001663;160001952;289;
160002763;160003052;289;
160003861;160004150;289;
160004959;160005275;316;
160006055;160006366;311;
160007152;160007467;315;
160008251;160008540;289;
160009350;160009639;289;
160010453;160010742;289;
160011553;160011842;289;
160012651;160012918;267;
160013745;160014006;261;
160014838;160015108;270;
160015931;160016201;270;
160017038;160017323;285;
160018130;160018413;283;
160019237;160019497;260;
160020331;160020601;270;
160021423;160021693;270;
160022515;160022775;260;
160023606;160023866;260;
160024699;160024959;260;
160025792;160026052;260;
160026884;160027154;270;
160027977;160028261;284;
160029069;160029350;281;
160030161;160030445;284;
160031260;160031520;260;
160032355;160032615;260;
160033451;160033748;297;
160034548;160034837;289;
160035644;160035933;289;
160036743;160037032;289;
160037841;160038130;289;
160038936;160039259;323;
160040033;160040346;313;
160041129;160041441;312;
160042306;160042595;289;
160043408;160043697;289;
160044502;160044762;260;
160045595;160045856;261;
160046688;160046948;260;
160047781;160048041;260;
160048874;160049134;260;
160049968;160050246;278;
160051059;160051347;288;
160052150;160052442;292;
160053244;160053504;260;
160054338;160054598;260;
160055431;160055701;270;
160056524;160056794;270;
160057618;160057888;270;
160058711;160058981;270;
160059804;160060064;260;
160060897;160061157;260;
160061990;160062274;284;
160063083;160063365;282;
160064176;160064494;318;
160065276;160065565;289;
160066375;160066664;289;
160067473;160067773;300;
160068571;160068860;289;
160069667;160069956;289;
160070765;160071054;289;
160071863;160072152;289;
160072967;160073274;307;
160074065;160074377;312;
160075161;160075449;288;
160076255;160076515;260;
160077348;160077608;260;
160078439;160078700;261;
160079531;160079801;270;
160080623;160080894;271;
160081715;160081975;260;
160082807;160083067;260;
160083906;160084166;260;
160084999;160085276;277;
160086091;160086373;282;
160087183;160087468;285;
160088278;160088548;270;
160089371;160089641;270;
160090464;160090734;270;
160091557;160091827;270;
160092650;160092910;260;
160093822;160094082;260;
160094916;160095176;260;
160096010;160096287;277;
160097103;160097388;285;
160098195;160098481;286;
160099256;160099516;260;
160100351;160100611;260;
160101444;160101704;260;
160102537;160102797;260;
160103630;160103890;260;
160104729;160104989;260;
160105823;160106084;261;
160106918;160107233;315;
160108016;160108326;310;
160109113;160109427;314;
160110226;160110516;290;
160111324;160111613;289;
160112422;160112722;300;
160113520;160113809;289;
160114618;160114907;289;
160115717;160116006;289;
160116815;160117082;267;
160117910;160118170;260;
160119003;160119281;278;
160120095;160120376;281;
160121187;160121472;285;
160122281;160122542;261;
160123373;160123634;261;
160124464;160124725;261;
160125555;160125815;260;
160126648;160126918;270;
160127741;160128001;260;
160128834;160129094;260;
160129927;160130187;260;
160131018;160131297;279;
160132110;160132392;282;
160133202;160133487;285;
160134296;160134566;270;
160135389;160135649;260;
160136487;160136747;260;
160137581;160137842;261;
160138676;160138973;297;
160139774;160140063;289;
160140872;160141161;289;
160141970;160142307;337;
160143067;160143385;318;
160144163;160144481;318;
160145261;160145561;300;
160146359;160146659;300;
160147462;160147762;300;
160148560;160148849;289;
160149657;160149925;268;
160150750;160151010;260;
160151843;160152103;260;
160152937;160153197;260;
160154029;160154303;274;
160155121;160155409;288;
160156225;160156485;260;
160157318;160157578;260;
160158416;160158676;260;
160159510;160159770;260;
160160603;160160863;260;
160161696;160161956;260;
160162789;160163049;260;
160163880;160164140;260;
160164973;160165249;276;
160166065;160166350;285;
160167158;160167441;283;
160168252;160168512;260;
160169349;160169610;261;
160170443;160170703;260;
160171538;160171827;289;
160172636;160172925;289;
160173733;160174022;289;
160174829;160175119;290;
160175925;160176232;307;
160177022;160177332;310;
160178118;160178432;314;
160179232;160179521;289;
160180336;160180625;289;
160181436;160181725;289;
160182534;160182795;261;
160183628;160183888;260;
160184719;160184979;260;
160185813;160186083;270;
160186906;160187176;270;
160187998;160188275;277;
160189090;160189371;281;
160190182;160190466;284;
160191281;160191541;260;
160192375;160192635;260;
160193466;160193737;271;
160194559;160194829;270;
160195651;160195912;261;
160196743;160197004;261;
160197834;160198094;260;
160198925;160199196;271;
160200015;160200291;276;
160201107;160201384;277;
160202204;160202542;338;
160203302;160203562;260;
160204398;160204687;289;
160205497;160205786;289;
160206595;160206895;300;
160207692;160207992;300;
160208790;160209090;300;
160209887;160210188;301;
160210984;160211288;304;
160212081;160212393;312;
160213186;160213498;312;
160214286;160214575;289;
160215385;160215666;281;
160216480;160216740;260;
160217574;160217834;260;
160218665;160218926;261;
160219757;160220017;260;
160220848;160221118;270;
160221941;160222226;285;
160223033;160223326;293;
160224126;160224411;285;
160225243;160225503;260;
160226339;160226599;260;
160227433;160227703;270;
160228526;160228796;270;
160229618;160229888;270;
160230712;160230972;260;
160231805;160232065;260;
160232897;160233168;271;
160234024;160234302;278;
160235117;160235399;282;
160236229;160236519;290;
160237328;160237617;289;
160238425;160238714;289;
160239521;160239821;300;
160240619;160240908;289;
160241717;160242006;289;
160242815;160243115;300;
160243911;160244200;289;
160245036;160245348;312;
160246133;160246416;283;
160247241;160247501;260;
160248335;160248595;260;
160249428;160249688;260;
160250521;160250791;270;
160251614;160251875;261;
160252707;160252967;260;
160253800;160254060;260;
160254898;160255158;260;
160255992;160256277;285;
160257084;160257365;281;
160258176;160258461;285;
160259270;160259530;260;
160260363;160260623;260;
160261456;160261716;260;
160262547;160262807;260;
160263639;160263899;260;
160264732;160264992;260;
160265827;160266087;260;
160266922;160267235;313;
160268020;160268330;310;
160269117;160269431;314;
160270231;160270520;289;
160271329;160271618;289;
160272427;160272727;300;
160273607;160273896;289;
160274705;160274994;289;
160275805;160276094;289;
160276903;160277170;267;
160277996;160278269;273;
160279088;160279365;277;
160280180;160280461;281;
