start time;end time;elapsed utime;
380505343;380505777;434;
380506537;380506699;162;
380507541;380507703;162;
380508543;380508705;162;
380509545;380509707;162;
380510546;380510708;162;
380511548;380511710;162;
380512550;380512712;162;
380513551;380513713;162;
380514553;380514754;201;
380515554;380515754;200;
380516556;380516756;200;
380517558;380517758;200;
380518559;380518759;200;
380519562;380519762;200;
380520564;380520764;200;
380521566;380521766;200;
380522567;380522767;200;
380523568;380523768;200;
380524569;380524769;200;
380525571;380525807;236;
380526574;380526810;236;
380527578;380527814;236;
380528582;380528818;236;
380529584;380529820;236;
380530588;380530824;236;
380531591;380531827;236;
380532594;380532830;236;
380533597;380533842;245;
380534600;380534845;245;
380535603;380535848;245;
380536608;380536853;245;
380537612;380537857;245;
380538615;380538860;245;
380539619;380539864;245;
380540622;380540867;245;
380541626;380541871;245;
380542628;380542873;245;
380543631;380543876;245;
380544633;380544869;236;
380545636;380545872;236;
380546641;380546857;216;
380547645;380547861;216;
380548649;380548865;216;
380549652;380549868;216;
380550655;380550871;216;
380551657;380551873;216;
380552659;380552875;216;
380553662;380553878;216;
380554666;380554882;216;
380555669;380555885;216;
380556673;380556909;236;
380557677;380557913;236;
380558681;380558917;236;
380559685;380559921;236;
380560689;380560925;236;
380561692;380561928;236;
380562694;380562930;236;
380563697;380563933;236;
380564700;380564936;236;
380565703;380565948;245;
380566706;380566951;245;
380567709;380567954;245;
380568711;380568956;245;
380569714;380569959;245;
380570716;380570961;245;
380571719;380571964;245;
380572723;380572968;245;
380573726;380573971;245;
380574728;380574973;245;
380575730;380575975;245;
380576734;380576979;245;
380577738;380577983;245;
380578741;380578986;245;
380579746;380579991;245;
380580749;380580994;245;
380581751;380581996;245;
380582755;380583000;245;
380583759;380584003;244;
380584763;380585008;245;
380585765;380586010;245;
380586767;380587012;245;
380587769;380588014;245;
380588773;380589018;245;
380589777;380590022;245;
380590779;380591024;245;
380591782;380592027;245;
380592786;380593031;245;
380593788;380594033;245;
380594791;380595036;245;
380595794;380596039;245;
380596797;380597033;236;
380597799;380598035;236;
380598802;380599018;216;
380599805;380600021;216;
380600808;380601024;216;
380601811;380602036;225;
380602813;380603038;225;
380603816;380604041;225;
380604819;380605044;225;
380605820;380606045;225;
380606822;380607047;225;
380607825;380608041;216;
380608829;380609054;225;
380609830;380610066;236;
380610833;380611069;236;
380611836;380612072;236;
380612838;380613074;236;
380613841;380614077;236;
380614844;380615080;236;
380615848;380616084;236;
380616851;380617087;236;
380617854;380618099;245;
380618857;380619102;245;
380619861;380620106;245;
380620866;380621111;245;
380621868;380622113;245;
380622871;380623116;245;
380623874;380624119;245;
380624877;380625122;245;
380625880;380626125;245;
380626883;380627128;245;
380627885;380628130;245;
380628888;380629133;245;
380629892;380630137;245;
380630897;380631142;245;
380631901;380632146;245;
380632904;380633149;245;
380633907;380634152;245;
380634913;380635158;245;
380635916;380636161;245;
380636920;380637165;245;
380637923;380638168;245;
380638927;380639172;245;
380639931;380640176;245;
380640934;380641179;245;
380641938;380642183;245;
380642941;380643186;245;
380643943;380644188;245;
380644946;380645191;245;
380645948;380646193;245;
380646950;380647195;245;
380647953;380648198;245;
380648956;380649201;245;
380649959;380650204;245;
380650972;380651229;257;
380651973;380652230;257;
380652976;380653237;261;
380653977;380654237;260;
380654981;380655240;259;
380655985;380656244;259;
380656988;380657247;259;
